Review,Aspect,Sentiment,Score,Helpful_Votes
Amazing product  Worth money  I have taken this tablet for a month now works wonders for me  It also has laxative effect and hence will solve constipation problems.  It makes me go 3/4 times a day to defecate so I take it on alternate days just to control the effect while I go oly once now  Pls take this on doctor recommendations if u are taking any other pills or if u wanna take more than a pill a day  So try it once if everything is fine then go for it one tablet a day else take it alternative day  The box says for diff conditions diff no. Of capsules that is to be taken but it again depends on the individual I had to take 2 by the looks of it  But taking one table every day was making me go to rest room 4 times or so Wch is not a good thing when u are working in corporate hence I switched to one tablet alternative days  Flavour is amazing it smells like light vanilla Definitely worth money,effectiveness,positive,0.45,0.0
Amazing product  Worth money  I have taken this tablet for a month now works wonders for me  It also has laxative effect and hence will solve constipation problems.  It makes me go 3/4 times a day to defecate so I take it on alternate days just to control the effect while I go oly once now  Pls take this on doctor recommendations if u are taking any other pills or if u wanna take more than a pill a day  So try it once if everything is fine then go for it one tablet a day else take it alternative day  The box says for diff conditions diff no. Of capsules that is to be taken but it again depends on the individual I had to take 2 by the looks of it  But taking one table every day was making me go to rest room 4 times or so Wch is not a good thing when u are working in corporate hence I switched to one tablet alternative days  Flavour is amazing it smells like light vanilla Definitely worth money,side_effects,positive,0.45,0.0
Good product,effectiveness,positive,0.7,0.0
"Tried them all. This is simply the best fish oil there is. Zero fishy burps, no acidity nothing. Finally found the product that actually works and does not have fish fat fillers that just cause so much problems in the gut. Go for it",effectiveness,positive,0.5,0.0
"Tried them all. This is simply the best fish oil there is. Zero fishy burps, no acidity nothing. Finally found the product that actually works and does not have fish fat fillers that just cause so much problems in the gut. Go for it",taste,neutral,0.0,0.0
Been taking it for 2 months now and it is doing great work,effectiveness,positive,0.8,0.0
Been taking it for 2 months now and it is doing great work,side_effects,positive,0.8,0.0
very expensive,price,negative,-0.65,0.0
"This product is amazing I am waiting for it, i didn't get a call or so..item as returned",effectiveness,positive,0.6,0.0
Good product,effectiveness,positive,0.7,0.0
"Great Quality.No fishy burps.Blidly go for it.First option is Swiss ,second option is Muscle blaze and third option is centrum.",taste,neutral,0.0,0.0
"Was so excited to purchase this, but it turned out to be a nightmare. The side effects began the first day itself with numbness of toes. I ignored it thinking it's something else. The second and third day, the symptoms got worse. Numbness of toes increased, stomach upset, vomiting, blurry vision scared me, severe pounding headache. The symptoms went away when I stopped taking this but some symptoms still are there and hope they go away Disappointed on calling Amazon customer care, as I was informed that this product can't be refunded and was told to contact Swisse directly. So do your research and then take fish oil from a proper manufacturer.",side_effects,negative,-0.75,0.0
"Was so excited to purchase this, but it turned out to be a nightmare. The side effects began the first day itself with numbness of toes. I ignored it thinking it's something else. The second and third day, the symptoms got worse. Numbness of toes increased, stomach upset, vomiting, blurry vision scared me, severe pounding headache. The symptoms went away when I stopped taking this but some symptoms still are there and hope they go away Disappointed on calling Amazon customer care, as I was informed that this product can't be refunded and was told to contact Swisse directly. So do your research and then take fish oil from a proper manufacturer.",authenticity,positive,0.1,0.0
Loved the quality of the pills. Will definitely but it again,effectiveness,positive,0.7,0.0
Loved the quality of the pills. Will definitely but it again,taste,positive,0.7,0.0
Why does the bottle has no inner seal and outer seal was super loose too. Its a medical product and strong packaging should be a must,effectiveness,positive,0.2167,0.0
Why does the bottle has no inner seal and outer seal was super loose too. Its a medical product and strong packaging should be a must,packaging,positive,0.0855,0.0
I have been using this for long for my family it is perhaps the best in it's category. It doesn't have the smell of fish oil and you don't get any inconvenience after consuming it. Highly recommended.,taste,neutral,0.0,0.0
"Pros- Odorless, Good brand Cons- JUMBO size capsule. Feels dangerous while swallowing and is uneasy while swallowing. Capsule should have been bit smaller",effectiveness,positive,0.7,0.0
"Pros- Odorless, Good brand Cons- JUMBO size capsule. Feels dangerous while swallowing and is uneasy while swallowing. Capsule should have been bit smaller",taste,negative,-0.6,0.0
"Pros- Odorless, Good brand Cons- JUMBO size capsule. Feels dangerous while swallowing and is uneasy while swallowing. Capsule should have been bit smaller",side_effects,negative,-0.6,0.0
Using this for over 2 weeks now. Perfect for skin health. Gives even glow to skin. Feels energetic.,effectiveness,positive,1.0,0.0
"I must say, I was a first-time user of this fish oil, and it has exceeded my expectations. I decided to try it out because I've been experiencing some discomfort and friction in my knees, likely from intense workouts. After researching the benefits of fish oil, I found this product at the top of the list on Amazon.  After nearly a month of regular use, I can confidently say that you'll notice a gradual improvement. However, it's important to note that this won't be a miracle cure overnight.",effectiveness,neutral,0.0,0.0
"I must say, I was a first-time user of this fish oil, and it has exceeded my expectations. I decided to try it out because I've been experiencing some discomfort and friction in my knees, likely from intense workouts. After researching the benefits of fish oil, I found this product at the top of the list on Amazon.  After nearly a month of regular use, I can confidently say that you'll notice a gradual improvement. However, it's important to note that this won't be a miracle cure overnight.",taste,neutral,0.0,0.0
"I must say, I was a first-time user of this fish oil, and it has exceeded my expectations. I decided to try it out because I've been experiencing some discomfort and friction in my knees, likely from intense workouts. After researching the benefits of fish oil, I found this product at the top of the list on Amazon.  After nearly a month of regular use, I can confidently say that you'll notice a gradual improvement. However, it's important to note that this won't be a miracle cure overnight.",health_impact,neutral,0.0,0.0
"Since there were mixed reviews, I decided to try with a 40 days pack first. And after using it, I must say this is the best omega-3 fish oil I've used so far. No smell, no fishy burps. The capsules are a bit big but thats expected for 1500mg and I haven't had any issues while consuming it. I hope they keep the quality of the product in the future as well.",taste,neutral,0.0,0.0
"Since there were mixed reviews, I decided to try with a 40 days pack first. And after using it, I must say this is the best omega-3 fish oil I've used so far. No smell, no fishy burps. The capsules are a bit big but thats expected for 1500mg and I haven't had any issues while consuming it. I hope they keep the quality of the product in the future as well.",side_effects,neutral,-0.05,0.0
Good quality fish oil. I liked the product.,effectiveness,positive,0.6,0.0
Good packing.. good quality..,packaging,positive,0.7,0.0
"I have concerns about their product authenticity selling in India. Unlike the FDA, supplements, vitamins, and complementary medicines are often considered therapeutic goods, regulated as non-prescription medicines by the TGA. In Australia, they have their own regulated body known as the Therapeutic Goods Administration (TGA). This means that the Swisse company must be compliant with TGA legislation and regulations. When I was searching for this product (High Strength Wild Fish Oil) on their official website, I couldn't find most of their products available in India. I need a clarification; otherwise, it's not good to blindly consume. Swisse/Swisse Wellness Ply Ltd is an Australian-based company.",authenticity,neutral,0.0,0.0
"I have concerns about their product authenticity selling in India. Unlike the FDA, supplements, vitamins, and complementary medicines are often considered therapeutic goods, regulated as non-prescription medicines by the TGA. In Australia, they have their own regulated body known as the Therapeutic Goods Administration (TGA). This means that the Swisse company must be compliant with TGA legislation and regulations. When I was searching for this product (High Strength Wild Fish Oil) on their official website, I couldn't find most of their products available in India. I need a clarification; otherwise, it's not good to blindly consume. Swisse/Swisse Wellness Ply Ltd is an Australian-based company.",health_impact,neutral,0.0,0.0
"Click to play video SWISSE High Strength Fish oil Packaging And Box quality is good At the bottom of Nutrition label you find a Scratch code and QR Code to verify it's Genuinity Also it have 1.5Gm of fish oil which is not So good but not so bad , At 1350Rs 200Capsules which is a good deal rather to buy a Cheap 300-500 Rs 60capsule Quality is good and fresh not so thick or not so light (coating of capsule) No fishy burps just don't consume right away by Food Take 20-30mins after consuming food For best Results take 1 in the morning and 1 in the night before goin to bed Also I found this one is better in comparison of NOW fish oil Which gives 1gm fish oil and Swisse Gives 1.5gm Both have 200 Capsule Also it comes From Australia 🇨🇨",packaging,positive,0.43,0.0
"Click to play video SWISSE High Strength Fish oil Packaging And Box quality is good At the bottom of Nutrition label you find a Scratch code and QR Code to verify it's Genuinity Also it have 1.5Gm of fish oil which is not So good but not so bad , At 1350Rs 200Capsules which is a good deal rather to buy a Cheap 300-500 Rs 60capsule Quality is good and fresh not so thick or not so light (coating of capsule) No fishy burps just don't consume right away by Food Take 20-30mins after consuming food For best Results take 1 in the morning and 1 in the night before goin to bed Also I found this one is better in comparison of NOW fish oil Which gives 1gm fish oil and Swisse Gives 1.5gm Both have 200 Capsule Also it comes From Australia 🇨🇨",taste,neutral,0.0,0.0
